epoch,mean_score,std_score
-1,0.2757142857142857,0.3225730387469076
0,0.2957142857142857,0.3182926233293516
2,0.3214285714285714,0.3178773395760612
4,0.3557142857142857,0.3611074502687557
6,0.3999999999999999,0.3832358507106884
8,0.5271428571428571,0.3957598726394952
10,0.6514285714285715,0.4302811797333481
12,0.6928571428571428,0.4153772502888153
14,0.7128571428571427,0.4257856674260057
16,0.7214285714285715,0.4292748100130167
18,0.7985714285714286,0.3802962560578006
20,0.8014285714285715,0.3843065622461724
